account_id,ml_indicator,checking_only_indicator,prior_ctr_indicator,address_change_2x_indicator,cross_border_trx_indicator,in_person_contact_indicator,linkedin_indicator,atm_deposit_indicator,trx_10ksum_indicator,common_merchant_indicator,direct_deposit_indicator,marital_status,primary_transfer_cat,citizenship_country_risk,occupation_risk,num_transactions,num_acctbal_chgs_gt2000,distance_to_employer,distance_to_bank,income,credit_score,ml_indicator_type,marital_status_type,primary_transfer_cat_type,id_suspicious_activity_reported,id_identified_by_employee,id_account_activity_1w
1,0,0,0,0,1,1,1,1,0,1,1,2,2,3,0,51,23,5,1,88082,570,no_money_launder,divorced,wire,false,false,false
2,0,0,0,1,1,0,0,0,0,0,1,2,1,7,0,59,94,1,14,164838,649,no_money_launder,divorced,check,false,false,false
3,0,0,0,1,1,1,1,0,0,0,0,2,1,0,0,107,103,3,1,74669,685,no_money_launder,divorced,check,false,false,false
4,0,1,1,0,1,1,1,0,0,0,0,1,1,4,0,58,2,4,13,79128,713,no_money_launder,married,check,false,false,false
5,0,0,0,0,0,1,1,1,0,0,1,0,1,3,1,85,26,5,3,48946,723,no_money_launder,single,check,false,false,true
6,0,0,1,0,1,1,0,0,0,0,1,2,1,3,3,13,57,2,1,57989,704,no_money_launder,divorced,check,true,false,false
7,0,1,1,0,0,0,0,1,0,0,1,1,1,2,1,296,47,5,15,5051,562,no_money_launder,married,check,false,false,true
8,0,0,0,0,0,1,0,0,0,1,1,2,1,3,1,3,137,1,10,13684,729,no_money_launder,divorced,check,false,true,false
9,0,0,0,1,1,1,0,1,0,0,0,1,1,5,0,70,4,5,7,46808,682,no_money_launder,married,check,false,false,false
10,0,1,1,1,1,1,1,0,0,0,1,1,0,3,3,81,8,4,3,22211,660,no_money_launder,married,cash,false,false,true
11,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,354,107,5,14,222677,672,no_money_launder,married,check,false,false,true
12,0,1,0,0,1,1,0,0,0,0,1,2,1,1,0,12,23,5,4,70677,656,no_money_launder,divorced,check,false,false,false
13,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,38,28,1,24,14549,578,no_money_launder,married,wire,true,false,false
14,0,0,0,1,0,1,0,0,0,0,1,1,2,0,5,85,125,3,4,229095,738,no_money_launder,married,wire,false,false,false
15,0,0,1,0,0,0,1,1,0,1,0,2,1,2,2,193,90,45,3,16577,718,no_money_launder,divorced,check,false,false,false
16,0,1,0,0,0,1,0,0,1,0,0,0,1,7,1,443,100,5,2,70570,552,no_money_launder,single,check,false,false,true
17,0,1,0,0,1,1,0,0,0,0,0,1,1,4,0,59,70,5,14,42182,663,no_money_launder,married,check,false,false,false
18,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,39,21,4,46,11593,797,no_money_launder,married,check,false,false,false
19,0,0,0,0,1,0,1,1,0,0,1,2,1,1,0,218,19,2,4,61369,647,no_money_launder,divorced,check,false,true,false
20,0,0,0,1,1,1,1,0,0,0,0,2,1,0,0,89,30,5,3,8716,676,no_money_launder,divorced,check,false,false,false
21,0,0,1,0,0,1,1,1,0,0,1,0,1,0,2,492,12,1,10,88270,748,no_money_launder,single,check,false,false,false
22,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,162,3,2,2,64307,748,no_money_launder,divorced,cash,false,false,false
23,0,0,0,0,1,0,0,1,0,0,1,2,1,3,0,5,24,1,3,71369,660,no_money_launder,divorced,check,false,false,false
24,0,1,0,0,0,1,0,0,0,0,1,2,1,1,6,41,25,6,49,71666,680,no_money_launder,divorced,check,false,false,true
25,0,1,1,0,0,1,1,0,0,1,1,0,1,0,4,74,14,11,27,67797,788,no_money_launder,single,check,true,false,true
26,0,0,0,1,0,0,0,0,0,0,0,1,1,2,5,14,49,5,45,12498,789,no_money_launder,married,check,false,false,false
27,0,0,1,1,1,1,0,0,0,0,1,2,1,0,0,18,49,1,5,59306,788,no_money_launder,divorced,check,false,false,true
