account_id,performance_period,ml_indicator,checking_only_indicator,prior_ctr_indicator,address_change_2x_indicator,cross_border_trx_indicator,in_person_contact_indicator,linkedin_indicator,atm_deposit_indicator,trx_10ksum_indicator,common_merchant_indicator,direct_deposit_indicator,marital_status,primary_transfer_cat,citizenship_country_risk,occupation_risk,num_transactions,num_acctbal_chgs_gt2000,distance_to_employer,distance_to_bank,income,credit_score,ml_indicator_type,marital_status_type,primary_transfer_cat_type
1,2,0,0,0,1,1,0,1,1,1,0,1,2,1,2,2,92,10,2,3,80347,709,no_money_launder,divorced,check
2,2,0,1,1,0,0,0,0,0,0,0,1,0,1,3,0,63,160,1,15,8020,685,no_money_launder,single,check
3,2,0,0,1,0,0,1,1,0,0,0,1,0,1,2,1,378,2,11,4,28197,720,no_money_launder,single,check
4,2,0,1,0,0,0,1,1,0,1,0,1,1,1,6,0,309,7,2,4,54974,777,no_money_launder,married,check
5,2,0,0,1,0,0,1,1,1,1,1,1,2,1,0,0,44,21,4,5,40784,733,no_money_launder,divorced,check
6,2,0,0,1,0,0,1,0,1,0,0,1,1,1,7,1,80,129,19,15,64858,677,no_money_launder,married,check
7,2,0,0,1,0,0,1,1,1,0,1,1,1,1,4,1,274,23,5,1,169574,658,no_money_launder,married,check
8,2,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,41,17,1,14,56119,616,no_money_launder,married,check
9,2,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,110,10,4,12,77041,756,no_money_launder,married,check
10,2,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,38,72,5,11,71455,656,no_money_launder,single,check
11,2,0,0,1,1,1,1,0,1,0,0,1,0,1,0,3,174,14,20,1,72638,664,no_money_launder,single,check
12,2,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,61,17,5,2,101233,557,no_money_launder,married,cash
13,2,0,1,0,0,0,1,1,1,0,0,1,1,1,0,2,30,65,3,34,41904,715,no_money_launder,married,check
14,2,0,0,1,0,1,0,1,0,0,1,1,1,1,5,3,36,10,2,2,137291,663,no_money_launder,married,check
15,2,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,14,24,2,9,134805,714,no_money_launder,married,check
16,2,0,0,0,0,1,0,1,1,0,0,1,2,0,1,3,99,8,1,12,16460,741,no_money_launder,divorced,cash
17,2,0,0,1,1,1,0,1,1,0,0,1,2,1,2,0,21,15,3,15,72073,678,no_money_launder,divorced,check
18,2,0,1,1,0,1,1,1,0,0,0,1,1,0,2,1,71,168,1,5,164737,827,no_money_launder,married,cash
19,2,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,26,52,1,6,56575,654,no_money_launder,single,check
20,2,0,0,0,0,1,1,0,0,1,0,1,2,1,0,2,8,28,2,14,24352,633,no_money_launder,divorced,check
21,2,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,204,20,5,5,62794,673,no_money_launder,single,check
22,2,0,0,0,1,1,1,0,1,0,0,1,1,1,2,0,316,239,5,19,93980,748,no_money_launder,married,check
23,2,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,81,18,1,12,35857,788,no_money_launder,married,check
24,2,0,0,1,0,1,0,0,1,0,0,1,0,0,3,2,107,41,5,1,62244,704,no_money_launder,single,cash
25,2,0,0,0,0,0,1,0,1,0,0,1,2,0,1,1,130,18,4,1,89669,764,no_money_launder,divorced,cash
26,2,0,1,0,0,1,1,1,1,0,0,1,0,1,5,0,50,28,8,3,71204,684,no_money_launder,single,check
27,2,0,0,1,1,0,1,1,1,0,0,1,1,0,3,3,43,41,4,1,15585,608,no_money_launder,married,cash
28,2,0,1,1,0,0,1,1,0,0,0,1,1,1,2,2,325,43,4,6,72452,767,no_money_launder,married,check
29,2,0,0,1,1,0,1,0,1,0,0,1,1,1,3,1,24,41,5,4,64484,672,no_money_launder,married,check
30,2,0,0,1,0,0,0,1,0,0,0,1,1,0,1,7,39,6,1,5,51871,821,no_money_launder,married,cash
31,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,4,210,13,2,4,91598,780,no_money_launder,single,check
32,2,0,0,1,0,0,1,0,0,0,1,1,2,1,0,4,80,25,3,2,111479,704,no_money_launder,divorced,check
33,2,0,0,1,0,0,0,0,1,0,1,0,0,1,4,1,79,28,5,13,83089,725,no_money_launder,single,check
34,2,0,0,1,0,0,1,0,0,0,1,0,2,1,0,0,63,15,5,5,57330,765,no_money_launder,divorced,check
35,2,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0,263,21,2,19,122172,633,no_money_launder,single,check
36,2,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,99,180,2,14,73004,721,no_money_launder,divorced,check
37,2,0,0,1,1,1,0,1,0,0,0,1,1,1,0,2,45,3,2,5,13800,788,no_money_launder,married,check
38,2,0,1,1,0,0,1,1,0,0,0,1,0,1,4,0,30,76,44,3,72419,730,no_money_launder,single,check
39,2,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,81,69,4,15,97642,626,no_money_launder,married,check
40,2,0,0,0,1,1,1,0,0,1,0,1,0,1,5,3,22,105,1,4,43507,680,no_money_launder,single,check
41,2,0,0,0,1,0,1,0,1,0,0,1,1,2,0,0,380,48,5,2,8461,713,no_money_launder,married,wire
42,2,0,0,1,0,1,0,1,1,0,0,1,0,1,0,3,32,24,8,1,175574,669,no_money_launder,single,check
43,2,0,0,1,1,0,0,0,1,0,0,1,0,1,5,1,16,36,2,11,56709,652,no_money_launder,single,check
44,2,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,392,21,5,11,50718,730,no_money_launder,single,check
45,2,0,0,0,0,0,0,0,1,0,1,1,0,1,3,0,126,21,5,4,39956,501,no_money_launder,single,check
46,2,0,0,1,0,0,1,1,0,0,0,1,0,1,2,2,417,13,18,3,12198,579,no_money_launder,single,check
47,2,0,0,1,1,0,1,1,1,0,0,1,1,0,2,0,78,6,4,5,71502,558,no_money_launder,married,cash
48,2,0,0,0,1,0,1,1,1,0,1,1,2,1,1,1,29,1,4,1,29140,640,no_money_launder,divorced,check
49,2,0,1,1,0,1,1,1,1,0,0,1,1,0,4,0,45,33,3,14,208237,748,no_money_launder,married,cash
50,2,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,334,13,1,8,37747,698,no_money_launder,married,check
51,2,0,0,0,0,0,1,0,1,0,0,0,1,2,1,1,426,24,4,6,42364,774,no_money_launder,married,wire
52,2,0,0,1,0,1,0,0,0,0,0,1,0,1,4,2,3,107,5,8,67322,710,no_money_launder,single,check
53,2,0,0,1,0,1,1,0,1,0,1,1,1,1,2,3,39,37,1,11,69840,848,no_money_launder,married,check
54,2,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,246,24,4,14,218793,614,no_money_launder,married,check
55,2,0,0,1,1,1,1,0,1,0,0,1,0,2,0,2,18,38,3,4,26733,555,no_money_launder,single,wire
56,2,0,0,1,0,1,1,1,0,0,0,1,0,1,3,1,41,31,5,7,105633,744,no_money_launder,single,check
57,2,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,64,11,1,9,71735,601,no_money_launder,married,check
58,2,0,1,0,0,1,0,0,0,0,0,1,2,1,3,7,122,23,5,9,53370,769,no_money_launder,divorced,check
59,2,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,153,2,6,4,66820,524,no_money_launder,married,cash
60,2,0,0,0,0,1,0,1,1,0,0,1,2,2,6,0,33,20,1,4,21426,615,no_money_launder,divorced,wire
61,2,0,0,0,0,1,1,0,1,0,0,1,2,2,0,0,100,17,10,5,23898,564,no_money_launder,divorced,wire
62,2,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,75,49,2,11,72504,719,no_money_launder,married,check
63,2,0,0,1,0,1,1,0,1,0,1,1,1,1,2,5,46,14,1,3,69017,621,no_money_launder,married,check
64,2,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,302,30,2,2,79702,715,no_money_launder,single,check
65,2,0,0,0,0,1,1,0,0,0,1,1,2,1,0,4,400,68,10,11,94777,738,no_money_launder,divorced,check
66,2,0,1,1,0,0,1,1,0,0,1,1,1,0,2,0,477,2,14,3,34508,687,no_money_launder,married,cash
67,2,0,0,1,0,0,1,0,1,1,0,1,2,1,0,0,443,13,7,28,5970,652,no_money_launder,divorced,check
68,2,0,1,1,0,0,1,0,1,1,1,1,0,1,5,4,101,24,4,9,68799,708,no_money_launder,single,check
69,2,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,137,4,1,9,40438,745,no_money_launder,married,check
70,2,0,1,0,0,1,0,0,1,0,0,1,2,2,2,3,25,5,5,5,24190,761,no_money_launder,divorced,wire
71,2,0,0,0,0,0,1,0,0,0,0,1,1,1,6,0,74,28,1,10,5382,589,no_money_launder,married,check
72,2,0,0,1,1,1,1,1,0,0,0,1,1,1,2,6,111,236,5,1,57481,667,no_money_launder,married,check
73,2,0,0,0,1,0,1,1,1,1,0,0,0,1,4,0,22,102,3,16,289970,705,no_money_launder,single,check
74,2,0,0,1,0,1,1,1,1,0,0,1,2,2,0,4,20,27,1,2,75601,771,no_money_launder,divorced,wire
