advisor,performance_period,advisor_event_indicator,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel_ria,primary_prod_sold_annuity,sf_email_campaigns,advisor_hh_children,annuity_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,region,sf_email_responses,id_activity_last_6mos,id_top_producer,id_strategic_partner,region_char,wholesaler_char
1,0,0,0,0,1,0,0,1,1,4,209530798,1,1048747,1,35,388196,74,4,735,16,3,0,false,false,false,Texas,Patel
2,0,0,0,0,1,1,0,0,2,3,520935395,9,365346,1,74,89433,100,5,763,21,0,4,false,false,false,California,Underwood
3,0,0,0,1,1,1,0,1,1,2,208303772,5,2074642,1,22,63648,83,1,620,22,5,0,false,false,true,South,Vasquez
4,0,0,0,0,0,0,0,0,4,1,127607656,8,96523,1,23,191063,100,1,737,21,3,5,false,false,true,Texas,Underwood
5,0,0,0,0,1,0,0,1,7,4,762026428,3,789733,1,19,468597,45,6,765,8,1,0,false,false,true,New York,Hassan
6,0,0,0,0,0,0,0,1,0,2,1987515930,11,1935653,3,37,297485,97,4,726,16,4,7,false,false,true,NE,Patel
7,0,0,1,0,0,0,0,1,4,3,285788457,6,184226,1,43,235426,97,5,727,14,1,1,false,false,false,New York,Noth
8,0,0,1,0,1,0,0,1,1,3,836671697,11,51376,1,41,470067,98,2,790,12,4,5,false,false,false,NE,Lula
9,0,0,1,0,0,1,1,1,3,0,98176116,4,459453,1,28,210040,92,3,715,14,0,0,false,false,true,California,Noth
10,0,0,0,1,1,0,0,1,7,7,928636273,10,8132338,1,19,82229,68,4,722,7,1,7,false,false,false,New York,Griegio
11,0,0,0,0,1,0,0,1,4,2,372293880,4,1968915,31,26,140453,85,3,758,8,2,4,false,false,false,Florida,Hassan
12,0,0,0,0,1,0,0,1,7,4,142138304,12,1544863,1,43,168909,73,5,802,1,4,3,false,false,false,NE,Abbott
13,0,0,0,0,0,0,0,0,6,5,206372235,5,9224,1,19,553149,90,5,761,1,4,4,false,false,true,NE,Abbott
14,0,0,1,1,0,0,1,1,3,1,349906639,12,37339,1,50,281037,82,4,771,3,4,3,false,false,false,NE,Chatterji
15,0,0,0,1,0,0,0,0,3,3,169670349,22,6553750,1,38,156351,84,3,628,13,4,4,false,false,false,NE,Mambwe
16,0,0,1,0,1,0,0,1,1,1,1473434164,7,536368,1,39,257879,42,5,704,22,1,1,false,false,false,New York,Vasquez
17,0,0,1,0,1,0,0,1,2,5,632977824,6,993899,2,35,896113,85,3,611,15,0,0,false,false,true,California,Ojj
18,0,0,1,0,0,0,1,1,2,3,84705899,9,2897964,1,35,315013,72,5,818,13,4,4,false,false,true,NE,Mambwe
19,0,0,0,0,0,0,0,0,7,5,89949108,22,341305,9,62,62106,88,6,705,23,1,4,false,false,false,New York,Werner
20,0,0,0,0,0,0,0,1,3,7,514856568,24,375599,1,50,363094,76,6,752,13,5,1,false,false,true,South,Mambwe
21,0,0,1,1,1,0,0,1,6,0,4961193163,5,90339,35,31,111147,8,3,759,11,2,3,false,true,true,Florida,Kanumba
22,0,0,0,0,0,0,0,1,3,0,3398902061,26,399600,1,41,77827,85,4,804,18,3,0,false,false,false,Texas,Rodriguez
23,0,0,0,0,0,1,1,1,2,3,747844946,12,1395458,1,25,384218,96,6,703,6,4,0,false,false,true,NE,Funderburk
24,0,0,0,0,0,1,1,1,2,5,145425578,5,96266,1,20,464215,85,4,640,13,5,3,false,false,true,South,Mambwe
25,0,0,0,0,0,0,0,1,0,6,3681889547,8,859616,1,44,229425,95,2,756,1,5,3,false,false,true,South,Abbott
26,0,0,0,0,0,0,1,1,1,5,408615835,17,337182,1,43,91625,80,6,755,23,1,0,true,false,false,New York,Werner
27,0,0,0,1,1,0,0,0,3,3,869204977,10,79196,1,32,73387,90,3,753,3,5,4,false,false,false,South,Chatterji
28,0,0,0,1,0,1,0,1,4,4,606999756,4,1570029,3,25,487477,93,0,657,21,4,1,false,false,false,NE,Underwood
29,0,0,0,0,1,0,0,1,3,1,967180405,17,1171481,10,69,90492,86,4,740,3,2,2,false,false,true,Florida,Chatterji
30,0,0,1,0,1,0,0,0,4,1,935457622,11,50610,1,43,496857,90,4,763,25,6,1,false,false,false,MidWest,Yang
31,0,0,0,1,1,1,0,1,5,2,31651420,16,1768523,1,45,152710,95,5,766,9,1,4,false,false,false,New York,Ingrid
