"analytic_partition","advisor","advisor_churn","advisor_churn_type","sf_face_2_face","sf_call_outbound","sf_call_inbound","sf_email_inbound","channel","channel_type","primary_prod_sold_va","primary_prod_sold_type","sf_email_campaigns","advisor_hh_children","advisor_advising_years","advisor_aum","advisor_annuity_selling_years","advisor_age","advisor_net_worth","advisor_credit_hist_mos","advisor_firm_changes","advisor_credit_score","wholesaler","wholesaler_i","wholesaler_name","advisor_net_worth_imp","channel_type_enc","va_mkt_opp","d_bank","d_wirehouse","d_ria","advisor_aum_bin","advisor_net_worth_log"
0,2465,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,5,5,43,50210,1,38,172186,87,0,770,24,X,Xavier,172186,3,3.3773882621,0,1,0,1,12.056330567
0,2466,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,6,4,18,214438,3,23,271347,92,5,757,8,H,Hassan,271347,3,3.4939711287,0,1,0,1,12.511153724
0,2467,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,4,3,19,305043,1,19,241192,88,1,793,1,A,Abbott,241192,3,-0.066418926,0,1,0,1,12.393348576
1,2468,0,no_advisor_churn,0,0,0,0,0,bank,1,va,4,3,16,2339468,1,68,187305,66,5,680,6,F,Funderburk,187305,1,0.1238067736,1,0,0,4,12.140493583
1,2469,0,no_advisor_churn,0,1,1,0,0,bank,1,va,3,3,18,3036624,1,24,59851,64,3,770,23,W,Werner,59851,1,-0.649633301,1,0,0,5,10.999613419
1,2470,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,2,3,22,61460,1,24,129752,97,4,769,24,X,Xavier,129752,3,0.1647404362,0,1,0,1,11.773380215
1,2471,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,2,0,8,3154806,2,64,158663,93,1,792,4,D,Devon,158663,3,-0.636149354,0,1,0,5,11.974537735
1,2472,0,no_advisor_churn,1,1,0,0,0,bank,1,va,6,0,13,3802963,1,21,278554,86,4,733,6,F,Funderburk,278554,1,-0.359651927,1,0,0,6,12.537367215
2,2473,0,no_advisor_churn,0,0,1,0,0,bank,1,va,6,2,13,4273974,3,33,225253,90,5,813,25,Y,Yang,225253,1,-0.616408605,1,0,0,6,12.324979494
0,2474,0,no_advisor_churn,0,0,1,0,0,bank,1,va,2,0,12,323822,3,67,302244,83,4,739,23,W,Werner,302244,1,-0.024085746,1,0,0,1,12.618989917
1,2475,0,no_advisor_churn,1,0,0,1,1,wirehouse,0,fixed,2,5,9,2202978,4,44,280549,70,3,739,4,D,Devon,280549,3,0.7789273718,0,1,0,4,12.544503677
1,2476,0,no_advisor_churn,1,1,0,0,0,bank,1,va,2,3,8,4577678,3,20,314590,88,5,749,12,L,Lula,314590,1,0.0190476116,1,0,0,7,12.659025483
