advisor,advisor_sale,advisor_sale_type,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel,channel_type,primary_prod_sold_va,primary_prod_sold_type,sf_email_campaigns,advisor_hh_children,va_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,wholesaler_i,wholesaler_name
1,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,2,4,98235591,14,2009560,2,25,74105,97,5,758,13,M,Mambwe
2,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,5,7,960112234,19,4886350,2,48,244260,55,4,817,17,Q,Quigley
3,0,no_advisor_sale,0,1,0,0,1,bank_broker,0,fixed,2,0,27906879,15,410853,5,49,186125,80,3,686,25,Y,Yang
4,0,no_advisor_sale,1,0,0,0,1,bank_broker,1,va,1,1,23467595,15,2319856,3,41,82647,96,4,847,2,B,Bost
5,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,6,2,721250695,11,101294,2,41,404475,84,2,849,10,J,Jasper
6,0,no_advisor_sale,0,1,1,0,0,captive,1,va,7,3,1952319181,11,1183645,1,25,230368,75,4,723,24,X,Xavier
7,0,no_advisor_sale,0,0,0,1,1,bank_broker,1,va,5,6,993370361,9,839669,3,27,143104,82,0,773,12,L,Lula
8,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,3,6,216058577,19,328272,2,28,133055,90,5,827,4,D,Devon
9,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,0,3,22488768,18,405660,1,19,142067,57,5,840,10,J,Jasper
10,0,no_advisor_sale,1,0,1,1,0,captive,1,va,4,1,16756664,14,1104621,3,19,159795,65,5,729,17,Q,Quigley
11,0,no_advisor_sale,1,0,1,0,0,captive,1,va,2,5,65660481,13,1245585,1,85,76617,81,4,783,18,R,Rodriguez
12,0,no_advisor_sale,0,1,0,1,1,bank_broker,1,va,6,5,3543013706,14,25778,2,39,238378,77,5,756,15,O,Ojj
13,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,5,2,1495232925,15,3212824,1,38,278263,95,5,651,19,S,Szu
14,0,no_advisor_sale,0,1,0,0,0,captive,1,va,5,3,3946579760,7,2476584,3,48,98207,86,5,741,20,T,Tavares
15,0,no_advisor_sale,1,0,1,1,0,captive,1,va,2,3,39061326,9,1642162,2,45,78289,54,4,707,19,S,Szu
16,0,no_advisor_sale,0,1,1,0,0,captive,1,va,4,5,819916776,7,25343,3,44, ,93,1,762,5,E,English
17,0,no_advisor_sale,0,0,0,0,2,ria,1,va,4,0,971490393,10,884327,1,68, ,55,4,715,7,G,Griegio
18,0,no_advisor_sale,0,0,1,0,0,captive,1,va,6,2,880054499,8,2030047,3,47,239064,73,5,714,21,U,Underwood
19,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,5,6,503327565,11,1790775,2,22, ,49,3,744,18,R,Rodriguez
20,0,no_advisor_sale,1,1,1,1,0,captive,1,va,1,4,3018634746,10,1622252,1,70,92921,72,1,731,9,I,Ingrid
21,0,no_advisor_sale,0,0,0,0,0,captive,1,va,7,0,267213305,8,4913967,3,68,283828,87,1,671,24,X,Xavier
22,0,no_advisor_sale,0,1,0,1,0,captive,1,va,3,2,75627303,10,13195,3,36, ,97,4,814,17,Q,Quigley
23,0,no_advisor_sale,1,0,0,0,0,captive,1,va,6,0,740763470,15,479589,3,67,62159,81,1,716,11,K,Kanumba
24,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,3,1,713726902,18,4622578,1,35,118408,63,5,766,15,O,Ojj
25,0,no_advisor_sale,1,1,0,0,1,bank_broker,1,va,2,4,4198675003,24,93000,2,20, ,89,4,784,17,Q,Quigley
26,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,6,3,34729121,12,334637,3,30,149463,87,4,765,22,V,Vasquez
27,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,1,4,628386752,8,75527,1,19, ,88,2,776,14,N,Noth
28,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,3,3,84221555,20,119397,2,40,63567,56,2,636,7,G,Griegio
29,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,5,7,264858219,11,3904816,1,36,293106,98,2,736,12,L,Lula
30,0,no_advisor_sale,0,0,1,1,0,captive,1,va,5,3,730154518,21,4220393,1,29,153808,99,1,660,9,I,Ingrid
31,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,4,1,781895583,9,62985,3,37,149771,85,4,755,8,H,Hassan
32,0,no_advisor_sale,1,0,1,1,1,bank_broker,1,va,7,3,90190988,8,4554686,2,24,92670,88,4,732,4,D,Devon
33,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,7,1,2099529914,31,729881,1,28,105854,59,5,791,5,E,English
34,0,no_advisor_sale,0,1,1,0,0,captive,1,va,2,0,311176477,17,2718341,2,24,172957,83,3,772,1,A,Abbott
35,0,no_advisor_sale,0,0,1,1,2,ria,1,va,6,7,893696747,22,339957,1,41, ,71,3,749,12,L,Lula
36,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,1,6,652689638,9,198415,2,41, ,83,4,743,23,W,Werner
37,0,no_advisor_sale,0,0,0,0,0,captive,1,va,6,1,37829284,12,4020215,3,57,79700,61,3,791,14,N,Noth
38,0,no_advisor_sale,0,1,0,1,1,bank_broker,1,va,7,4,620121538,17,106042,2,27,146825,88,3,775,6,F,Funderburk
39,0,no_advisor_sale,0,0,0,0,0,captive,1,va,6,4,1204417556,14,29428,3,34, ,89,4,659,10,J,Jasper
40,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,0,1,27629729,23,102514,2,40,231611,94,5,770,8,H,Hassan
41,0,no_advisor_sale,0,0,1,1,0,captive,1,va,0,7,30362854,9,77397,2,62,244832,86,4,741,20,T,Tavares
42,0,no_advisor_sale,0,0,0,1,1,bank_broker,1,va,4,7,718944589,12,1490050,2,52,84696,98,5,767,10,J,Jasper
43,0,no_advisor_sale,0,0,0,1,0,captive,1,va,2,3,71988822,8,452655,1,22, ,86,5,730,11,K,Kanumba
44,0,no_advisor_sale,1,1,0,0,1,bank_broker,1,va,3,1,671814481,17,383154,2,63, ,98,3,751,4,D,Devon
45,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,0,5,67225941,10,163357,2,42, ,71,4,724,9,I,Ingrid
46,0,no_advisor_sale,0,1,0,1,1,bank_broker,1,va,7,7,2046396816,23,1968430,1,59, ,96,3,645,16,P,Patel
47,0,no_advisor_sale,1,0,1,0,0,captive,1,va,2,3,1319863397,13,114860,2,57,176964,77,4,838,16,P,Patel
48,0,no_advisor_sale,1,0,1,0,0,captive,1,va,7,5,4786900884,12,248918,1,19, ,93,4,801,19,S,Szu
49,0,no_advisor_sale,0,1,0,0,2,ria,1,va,4,6,737605018,20,4922429,1,40, ,82,3,830,25,Y,Yang
50,0,no_advisor_sale,0,1,1,0,0,captive,1,va,3,4,223751776,14,323110,1,64,266603,88,4,789,16,P,Patel
51,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,2,0,724462685,35,496646,2,48,469753,90,3,713,7,G,Griegio
52,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,1,2,404588034,17,283767,1,31,188844,96,5,821,16,P,Patel
53,0,no_advisor_sale,0,1,1,0,1,bank_broker,0,fixed,2,1,521943090,12,47096,14,49,119127,84,5,682,1,A,Abbott
54,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,6,5,440097582,19,92909,1,64,122129,84,2,730,5,E,English
55,0,no_advisor_sale,1,0,1,0,2,ria,1,va,2,6,97341501,7,1758596,1,44,144511,71,4,800,24,X,Xavier
56,0,no_advisor_sale,1,0,1,1,0,captive,1,va,2,4,976947416,11,1219798,1,89,60567,98,3,768,24,X,Xavier
57,0,no_advisor_sale,0,0,0,1,1,bank_broker,1,va,4,0,673874245,20,310834,2,33,196990,76,4,774,1,A,Abbott
58,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,4,1,259506772,9,1953333,1,19,235928,92,5,770,20,T,Tavares
59,0,no_advisor_sale,1,1,0,1,0,captive,1,va,0,0,312705874,16,456673,3,28,450590,63,4,662,4,D,Devon
