date,sa_charge_off_rate_all_loans,sa_charge_off_rate_agg_loans,sa_charge_off_rate_business_loans,sa_charge_off_rate_re_loans,sa_charge_off_rate_consumer_loans,sa_charge_off_rate_sf_resi_loans,sa_charge_off_rate_lease_financing,sa_charge_off_rate_credit_card,sa_charge_off_rate_other_loans,sa_charge_off_rate_cre_loans,sa_charge_off_rate_farm_loans on farmland loans,charge_off_rate_all_loans,charge_off_rate_agg_loans,charge_off_rate_business_loans,charge_off_rate_re_loans,charge_off_rate_consumer_loans,charge_off_rate_sf_resi_loans,charge_off_rate_lease_financing,charge_off_rate_credit_card,charge_off_rate_other_loans,charge_off_rate_cre_loans,charge_off_rate_farm_loans on farmland loans
3/31/1985,0.8,2.24,1.28,0.28,0.82,,0.4,1.9,0.51,,,0.63,2.06,0.89,0.17,0.79,,0.37,1.95,0.44,,
6/30/1985,0.86,3.11,1.21,0.25,0.97,,0.71,2.26,0.57,,,0.82,3.18,1.15,0.22,0.94,,0.66,2.25,0.53,,
9/30/1985,0.95,2.68,1.41,0.26,1.15,,0.91,2.68,0.67,,,0.9,2.68,1.37,0.24,1.09,,0.82,2.62,0.6,,
12/31/1985,1.05,6.44,1.45,0.31,1.28,,0.81,2.92,0.73,,,1.38,6.55,2.01,0.46,1.44,,0.99,2.91,0.95,,
3/31/1986,1.02,3.01,1.46,0.33,1.35,,0.49,3.14,0.75,,,0.8,2.83,1.01,0.22,1.3,,0.47,3.2,0.65,,
6/30/1986,1.08,4.15,1.47,0.39,1.42,,0.69,3.2,0.8,,,1.04,4.22,1.41,0.36,1.38,,0.64,3.19,0.74,,
9/30/1986,1.14,2.97,1.57,0.43,1.49,,0.78,3.42,0.79,,,1.07,2.96,1.51,0.42,1.41,,0.71,3.34,0.72,,
12/31/1986,1.08,5.2,1.48,0.47,1.49,,0.72,3.42,0.79,,,1.41,5.33,2.04,0.63,1.67,,0.87,3.4,1.02,,
3/31/1987,0.99,2.63,1.27,0.46,1.47,,1.01,3.45,0.74,,,0.78,2.44,0.89,0.35,1.42,,0.98,3.51,0.65,,
6/30/1987,0.88,1.75,1.21,0.41,1.47,,0.76,3.34,0.77,,,0.87,1.82,1.17,0.38,1.43,,0.69,3.35,0.71,,
9/30/1987,0.92,0.93,1.11,0.44,1.43,,0.73,3.18,0.76,,,0.86,0.91,1.05,0.43,1.35,,0.66,3.1,0.69,,
12/31/1987,1.04,2.07,1.15,0.46,1.49,,0.77,3.24,0.8,,,1.34,2.21,1.58,0.62,1.66,,0.93,3.23,1.02,,
3/31/1988,1.13,0.62,1.18,0.46,1.45,,0.45,3.15,0.75,,,0.89,0.43,0.83,0.34,1.42,,0.44,3.21,0.67,,
6/30/1988,1.15,0.54,1.35,0.63,1.47,,0.58,3.24,0.75,,,1.15,0.6,1.32,0.6,1.43,,0.52,3.26,0.69,,
9/30/1988,1.09,0.39,1.04,0.44,1.52,,0.4,3.22,0.81,,,1.01,0.37,0.97,0.42,1.43,,0.36,3.13,0.73,,
