Exposure,Age,Bluebook,Rating_Category,DrivingUnderInfluence,Income,Occupation,Marital_Status,Education,Revoked,Gender,MotorVehicleRecordPoint,Car_Age,Travel_Time,Car_Type,uniqueRecordID,CarUse,Claims,PurePremium,_PartInd_,Origination_Source
0.333333333,58,4000,A,1,21325,Professional,M,Bachelors,1,F,6,9,78.1,Hatchback,1,C,0,0,0,
0.416666667,21,5000,A,0,44263,Blue Collar,S,High School,1,F,7,9,68.1,Sports Car,2,C,0,0,0,
0.083333333,39,1000,A,1,28193,Home Maker,M,Less High School,1,F,1,0,74.7,Van,3,C,0,0,0,
0.916666667,59,11000,A,0,16065,Home Maker,S,Masters,0,M,13,6,59.5,SUV,4,P,0,0,0,
1.25,17,15000,A,0,8325,Blue Collar,S,Masters,0,M,3,2,67.4,Sports Car,5,P,0,0,0,
0.25,37,3000,C,0,7080,Blue Collar,S,Bachelors,0,F,1,10,66.6,Sedan,6,C,0,0,2,
0.833333333,54,10000,A,0,34430,Doctor,S,High School,0,F,4,5,72.6,SUV,7,C,0,0,0,
0.166666667,26,2000,A,0,37435,Doctor,M,High School,0,F,4,2,67.5,Sedan,8,C,0,0,0,
4.166666667,45,50000,A,0,5109,(missing),M,High School,0,F,5,12,71.3,Hatchback,9,C,0,0,0,
0.25,23,3000,B,0,26584,Clerical,M,Masters,0,F,14,14,71.8,Van,10,C,0,0,1,
0.25,48,3000,A,0,10424,Manager,M,Masters,1,F,5,12,66.8,SUV,11,C,0,0,0,
0.25,42,3000,A,0,5882,Blue Collar,M,High School,0,F,7,1,74.6,SUV,12,C,0,0,0,
2.166666667,48,26000,A,0,8277,Doctor,M,High School,1,F,6,1,65.7,SUV,13,C,0,0,0,
1.166666667,29,14000,A,0,25546,Blue Collar,M,Bachelors,0,F,0,4,73.8,Sedan,14,C,0,0,0,
0.25,62,3000,C,0,26349,Blue Collar,S,Masters,0,F,3,3,65.8,Sports Car,15,C,0,0,2,
1.333333333,75,16000,A,0,31030,Doctor,S,Less High School,1,F,0,8,80,SUV,16,P,0,0,0,
1.666666667,72,20000,B,0,20711,Clerical,S,High School,1,F,2,6,76.7,Van,17,P,0,0,1,
1,36,12000,A,0,8984,Clerical,M,High School,1,F,4,8,67,Van,18,C,0,0,0,
1.083333333,28,13000,A,0,32062,Lawyer,S,Bachelors,1,F,5,8,70.3,Sedan,19,C,0,0,0,
0.333333333,44,4000,A,0,36715,Clerical,M,Masters,1,F,4,6,52.5,Hatchback,20,C,0,0,0,
1.333333333,59,16000,A,0,49988,Home Maker,S,High School,0,F,3,2,73,Sedan,21,C,0,0,0,
0.333333333,36,4000,B,0,28811,Doctor,S,Masters,0,F,4,6,75.1,Station Wag,22,C,0,0,1,
0.25,31,3000,A,1,23369,Clerical,S,Less High School,0,M,5,4,68.1,SUV,23,C,0,0,0,
0.583333333,75,7000,A,0,27023,Doctor,S,Less High School,0,F,5,5,75.8,Sports Car,24,P,0,0,0,
0.416666667,57,5000,B,0,87565,Manager,S,Masters,1,F,15,7,65.6,Sedan,25,P,0,0,1,
1.5,42,18000,B,0,32571,Doctor,S,High School,1,F,2,7,67.2,Station Wag,26,C,0,0,1,
0.833333333,75,10000,B,0,17454,Blue Collar,S,Masters,1,F,12,6,71.1,Sports Car,27,C,0,0,1,
0.5,39,6000,A,0,97636,Clerical,S,Less High School,0,F,3,6,66.1,Hatchback,28,C,0,0,0,
4,41,48000,A,0,5406,Clerical,M,Less High School,1,F,3,0,56.6,Sports Car,29,C,0,0,0,
0.333333333,64,4000,B,0,26856,Doctor,M,Bachelors,1,F,4,7,84.3,Sedan,30,C,0,0,1,
