"bin_num","bin_value","mean_prediction","standard_error","variable"
"           1","           0","0.3036725807","0.0129742245","gender"
"           2","0.0526315789","0.3009802036","0.0129397325","gender"
"           3","0.1052631579","0.2982964239","0.0129038846","gender"
"           4","0.1578947368","0.2956192882","0.0128666188","gender"
"           5","0.2105263158","0.2929467903","0.0128278748","gender"
"           6","0.2631578947","0.2902768826","0.0127875947","gender"
"           7","0.3157894737","0.2876074901","0.0127457235","gender"
"           8","0.3684210526","0.2849365244","0.0127022098","gender"
"           9","0.4210526316","0.2822618991","0.0126570062","gender"
"          10","0.4736842105","0.2795815453","  0.01261007","gender"
"          11","0.5263157895","0.2768934279","0.0125613633","gender"
"          12","0.5789473684"," 0.274195561","0.0125108535","gender"
"          13","0.6315789474","0.2714860242"," 0.012458513","gender"
"          14","0.6842105263","0.2687629769","0.0124043199","gender"
"          15","0.7368421053","0.2660246731","0.0123482573","gender"
"          16","0.7894736842","0.2632694736","0.0122903134","gender"
"          17","0.8421052632","0.2604958584","0.0122304814","gender"
"          18","0.8947368421","0.2577024365","0.0121687587","gender"
"          19","0.9473684211","0.2548879545","0.0121051471","gender"
"          20","           1"," 0.252051304","0.0120396522","gender"
"           1","           0","0.3340773897","0.0129179003","at_current_job_1_year"
"           2","0.0526315789","0.3263984778","0.0128405325","at_current_job_1_year"
"           3","0.1052631579"," 0.318800813","0.0127582446","at_current_job_1_year"
"           4","0.1578947368","0.3112780728","0.0126705918","at_current_job_1_year"
"           5","0.2105263158","0.3038221945","0.0125771044","at_current_job_1_year"
"           6","0.2631578947","0.2964235871","0.0124773068","at_current_job_1_year"
"           7","0.3157894737","0.2890714395","0.0123707356","at_current_job_1_year"
"           8","0.3684210526","0.2817541052","0.0122569553","at_current_job_1_year"
"           9","0.4210526316","0.2744595359","0.0121355717","at_current_job_1_year"
"          10","0.4736842105"," 0.267175744","0.0120062425","at_current_job_1_year"
"          11","0.5263157895","0.2598912748","0.0118686886","at_current_job_1_year"
"          12","0.5789473684","0.2525956734","0.0117227028","at_current_job_1_year"
"          13","0.6315789474"," 0.245279934","0.0115681597","at_current_job_1_year"
"          14","0.6842105263","0.2379369179","0.0114050235","at_current_job_1_year"
