account_id,performance_period,ml_indicator,checking_only_indicator,prior_ctr_indicator,address_change_2x_indicator,cross_border_trx_indicator,in_person_contact_indicator,linkedin_indicator,atm_deposit_indicator,trx_10ksum_indicator,common_merchant_indicator,direct_deposit_indicator,marital_status,primary_transfer_cat,citizenship_country_risk,occupation_risk,num_transactions,num_acctbal_chgs_gt2000,distance_to_employer,distance_to_bank,income,credit_score,ml_indicator_type,marital_status_type,primary_transfer_cat_type
1,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,93,7,1,18,6931,668,no_money_launder,married,cash
2,4,0,0,0,0,1,1,0,1,0,0,1,2,2,1,0,10,8,3,1,27836,602,no_money_launder,divorced,wire
3,4,0,0,1,0,1,1,1,0,0,0,1,2,2,5,0,81,16,9,5,13041,516,no_money_launder,divorced,wire
4,4,0,0,0,0,1,1,0,0,0,0,1,2,2,4,0,156,25,9,19,65290,735,no_money_launder,divorced,wire
5,4,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,332,113,2,6,31191,660,no_money_launder,married,cash
6,4,0,1,1,0,0,1,1,1,0,0,1,1,0,4,1,14,13,2,2,8970,735,no_money_launder,married,cash
7,4,0,0,1,1,0,1,0,1,0,1,1,2,1,2,0,91,14,4,20,5465,794,no_money_launder,divorced,check
8,4,0,0,0,1,0,0,1,1,0,1,1,1,2,2,2,200,8,2,4,51840,721,no_money_launder,married,wire
9,4,0,0,1,0,1,0,1,1,0,1,1,1,1,3,5,48,20,2,2,126163,739,no_money_launder,married,check
10,4,0,0,1,1,1,1,0,1,1,1,0,1,1,2,2,40,12,46,20,19862,734,no_money_launder,married,check
11,4,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,153,22,38,3,38925,745,no_money_launder,married,cash
12,4,0,0,0,1,0,1,1,0,0,0,1,2,0,0,1,129,16,40,15,35184,683,no_money_launder,divorced,cash
13,4,0,0,0,1,1,1,1,1,0,0,1,0,0,2,0,97,8,5,2,56354,685,no_money_launder,single,cash
14,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,25,237,28,5,17155,702,no_money_launder,single,check
15,4,0,1,0,0,1,1,1,1,0,0,1,2,1,2,1,94,20,1,5,18279,725,no_money_launder,divorced,check
16,4,0,0,0,0,1,1,1,1,1,0,1,1,1,3,1,74,22,6,1,31208,713,no_money_launder,married,check
17,4,0,0,1,1,1,1,1,1,0,0,1,2,1,2,6,387,4,4,1,47505,583,no_money_launder,divorced,check
18,4,0,0,0,0,1,1,1,1,0,1,1,1,1,2,0,258,23,9,9,19401,650,no_money_launder,married,check
19,4,0,1,0,0,1,1,1,1,1,0,0,1,1,1,3,57,17,2,14,54503,622,no_money_launder,married,check
20,4,0,1,0,0,1,1,1,0,0,0,1,2,2,3,0,22,188,3,13,60285,513,no_money_launder,divorced,wire
21,4,0,1,0,0,0,1,1,0,0,0,1,2,2,0,2,80,20,3,4,122961,730,no_money_launder,divorced,wire
22,4,0,1,0,1,0,0,0,1,0,1,1,2,1,1,0,88,47,2,2,74832,678,no_money_launder,divorced,check
23,4,0,0,1,0,1,1,1,1,0,0,0,1,1,2,4,10,19,3,1,253569,780,no_money_launder,married,check
24,4,0,1,0,0,1,1,1,1,0,0,1,1,1,0,3,29,236,3,6,91664,735,no_money_launder,married,check
25,4,0,1,0,0,1,0,1,1,1,0,1,1,1,3,6,184,145,3,1,186849,732,no_money_launder,married,check
26,4,0,0,0,1,1,1,1,1,0,0,1,1,1,0,4,15,35,1,1,23364,723,no_money_launder,married,check
27,4,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,355,11,4,11,72568,779,no_money_launder,married,check
28,4,0,1,1,0,0,1,1,0,0,1,1,2,1,0,4,233,14,10,27,64256,712,no_money_launder,divorced,check
29,4,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,20,25,23,5,8514,724,no_money_launder,married,check
30,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,23,21,12,19,272148,624,no_money_launder,single,check
31,4,0,1,1,0,1,1,0,1,0,1,1,1,2,6,0,321,15,4,15,30072,770,no_money_launder,married,wire
32,4,0,0,1,0,1,1,1,0,0,0,0,2,1,1,0,92,112,3,4,113501,627,no_money_launder,divorced,check
33,4,0,0,0,0,1,1,1,1,0,0,1,1,0,3,0,85,16,3,10,52193,660,no_money_launder,married,cash
34,4,0,1,0,0,1,1,1,1,1,1,1,1,1,3,2,21,55,2,13,136204,744,no_money_launder,married,check
35,4,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,166,4,4,2,70826,645,no_money_launder,single,check
36,4,0,0,0,0,1,1,0,1,0,0,1,1,2,2,0,194,11,2,4,221759,831,no_money_launder,married,wire
37,4,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,100,20,1,29,19868,666,no_money_launder,married,check
38,4,0,0,1,0,0,1,0,0,0,0,1,1,1,5,6,30,249,14,29,73520,758,no_money_launder,married,check
39,4,0,1,0,1,1,0,1,1,0,1,0,1,0,2,5,202,69,46,4,61090,793,no_money_launder,married,cash
40,4,0,0,1,1,0,1,0,0,0,0,1,1,1,4,3,119,110,28,1,37190,694,no_money_launder,married,check
41,4,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,72,28,5,11,75653,731,no_money_launder,married,check
42,4,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,19,5,1,2,64426,790,no_money_launder,divorced,cash
