"account_id","num_transactions","credit_score","marital_status_single","marital_status_married","marital_status_divorced","analytic_partition","ml_indicator","checking_only_indicator","prior_ctr_indicator","address_change_2x_indicator","cross_border_trx_indicator","in_person_contact_indicator","linkedin_indicator","atm_deposit_indicator","trx_10ksum_indicator","common_merchant_indicator","direct_deposit_indicator","citizenship_country_risk","occupation_risk","num_acctbal_chgs_gt2000","distance_to_employer","distance_to_bank","income","primary_transfer_cash","primary_transfer_check","primary_transfer_wire"
10729,-0.596972665,0.3220850945,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,-0.863773416,-0.091215699,-0.895717584,-0.810491149,0,1,0
10730,-0.186827913,1.1999051839,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,2,0,-0.798471061,-0.660522669,-0.048730881,-0.056456725,1,0,0
10731,0.1787358876,-1.756962486,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,2,-0.488284872,-0.233542441,-0.895717584,-0.033369697,0,0,1
10732,-0.900123134,-0.879142396,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,3,2.3033908305,-0.091215699,-0.774719483,-1.27901674,0,1,0
10733,1.3289244315,0.1988822749,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1.3565066742,-0.660522669,-0.653721383,-0.041475909,0,0,1
10734,-0.703966948,-2.234373411,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,3,5,-0.635215172,-0.660522669,-0.532723282,5.1179485984,0,0,1
10735,0.0004120823,-0.263128298,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,2,0,-0.733168705,-0.091215699,0.4352615207,1.3307355207,1,0,0
10736,0.802869206,1.3231080034,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1.7483208079,-0.660522669,1.5242444242,0.1184314303,0,1,0
10737,-0.507810763,-1.618359314,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,2,7,-0.06381956,-0.518195926,-0.532723282,0.2229388593,1,0,0
10738,2.2472920286,1.1537041265,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.81479665,-0.518195926,-1.016715684,0.3571168139,1,0,0
10739,0.1787358876,-0.324729708,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1.4544602076,-0.233542441,-0.653721383,-0.302867642,0,1,0
