advisor,performance_period,advisor_event_indicator,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel,primary_prod_sold,sf_email_campaigns,advisor_hh_children,annuity_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,region,sf_email_responses,id_activity_last_6mos,id_top_producer,id_strategic_partner,region_char,wholesaler_char,channel_char,primary_prod_sold_char
1,0,0,0,1,1,1,0,0,7,2,222427971,4,1522762,16,40,158235,86,3,778,23,6,2,false,false,false,MidWest,Werner,bank,fixed
2,0,0,0,1,0,0,0,0,5,1,1026849699,10,314335,1,50,260641,74,2,714,24,3,2,false,false,false,Texas,Xavier,bank,fixed
3,0,0,1,0,1,0,0,1,1,4,348088010,10,66533,2,25,330865,95,4,763,18,3,3,false,false,false,Texas,Rodriguez,bank,va
4,0,0,1,0,1,1,0,1,6,3,932976946,9,894340,26,48,235826,76,2,771,3,2,2,false,false,true,Florida,Chatterji,bank,va
5,0,0,0,1,1,1,0,0,7,3,22747554,5,239975,1,39,355294,93,5,763,22,5,2,false,false,true,South,Vasquez,bank,fixed
6,0,0,0,0,1,0,0,1,0,6,438302290,19,959258,1,21,210846,97,4,747,11,5,2,false,false,true,South,Kanumba,bank,va
7,0,0,0,1,1,1,0,1,1,1,838155609,1,1511763,33,35,367965,85,2,751,13,5,0,false,false,false,South,Mambwe,bank,va
8,0,0,0,0,0,0,0,0,1,1,2252987368,7,1604727,1,42,421835,88,5,676,24,2,1,false,false,true,Florida,Xavier,bank,fixed
9,0,0,1,1,1,1,0,1,2,3,1569362398,11,3150933,1,42,120006,75,6,759,25,0,1,false,false,false,California,Yang,bank,va
10,0,0,0,1,0,0,1,1,4,6,4686687241,18,1827987,1,40,469901,77,4,660,14,3,0,false,false,false,Texas,Noth,wirehouse,va
11,0,0,0,1,1,0,2,1,7,6,1095328765,2,150836,1,37,94632,87,4,749,2,2,1,false,false,true,Florida,Bost,ria,va
12,0,0,0,0,1,0,0,1,5,4,59031529,9,703970,1,22,257451,73,5,812,18,5,1,false,false,false,South,Rodriguez,bank,va
13,0,0,1,0,0,1,0,1,2,1,3507997359,8,738419,1,32,208732,88,5,832,2,6,1,false,false,true,MidWest,Bost,bank,va
14,0,0,0,1,1,1,0,1,5,0,885803325,8,1694021,1,37,65280,63,1,839,11,0,1,false,false,false,California,Kanumba,bank,va
15,0,0,0,0,0,0,0,0,5,2,1794038128,6,9980003,1,45,303882,89,5,747,2,3,3,false,false,false,Texas,Bost,bank,fixed
16,0,0,1,1,0,1,0,0,1,1,37537342,71,7373725,6,23,57709,89,5,782,9,7,0,false,false,false,West,Ingrid,bank,fixed
17,0,0,0,1,1,1,0,0,7,3,713041428,2,2816105,23,62,103939,95,5,526,3,4,4,false,false,true,NE,Chatterji,bank,fixed
18,0,0,0,1,0,0,0,1,3,2,1935329617,1,1227979,1,35,220397,89,6,528,15,0,2,false,false,false,California,Ojj,bank,va
19,0,0,0,0,0,1,1,1,7,1,95414171,10,3054124,1,45,416684,83,4,777,8,5,5,false,false,true,South,Hassan,wirehouse,va
20,0,0,1,1,1,1,1,0,2,5,2473732561,3,56998,1,23,291580,96,1,710,12,4,0,false,false,false,NE,Lula,wirehouse,fixed
21,0,0,1,0,0,0,1,0,6,6,232683703,7,681580,18,32,394666,67,4,709,25,0,1,false,false,true,California,Yang,wirehouse,fixed
22,0,0,0,0,1,1,0,1,2,0,885443630,11,64157,1,33,102845,60,3,797,5,1,0,false,false,false,New York,English,bank,va
23,0,0,0,0,0,1,0,1,4,6,96926460,10,18833,1,21,116732,89,4,786,22,5,2,false,false,false,South,Vasquez,bank,va
24,0,0,0,0,0,0,2,0,2,0,3313256668,2,940051,1,29,94488,96,0,672,13,5,2,false,false,false,South,Mambwe,ria,fixed
25,0,0,0,1,1,1,0,1,1,1,146418670,5,9357,12,58,204115,79,2,768,10,1,3,false,false,true,New York,Jasper,bank,va
26,0,0,0,1,0,0,0,0,3,1,611280864,10,406724,1,45,71116,73,4,736,18,1,3,false,false,false,New York,Rodriguez,bank,fixed
27,0,0,0,1,1,1,0,1,2,3,194026545,6,809166,1,21,61275,93,4,816,22,4,4,false,false,true,NE,Vasquez,bank,va
28,0,0,1,0,1,1,0,0,3,5,2994207837,5,4619520,1,31,52186,88,5,785,2,3,5,false,false,false,Texas,Bost,bank,fixed
29,0,0,0,1,0,0,1,1,3,6,2147427220,5,9024651,1,43,282823,89,5,805,3,4,5,false,false,true,NE,Chatterji,wirehouse,va
30,0,0,1,0,1,0,0,0,2,7,89138085,6,55300,1,30,277784,88,3,713,12,2,1,false,false,false,Florida,Lula,bank,fixed
31,0,0,0,0,1,0,1,1,5,2,83122358,2,9878036,3,33,163165,91,5,721,17,0,0,false,false,true,California,Quigley,wirehouse,va
32,0,0,0,0,1,0,0,1,7,4,317350726,24,866775,1,49,295976,82,2,790,13,5,3,false,false,false,South,Mambwe,bank,va
33,0,0,0,0,1,0,0,0,2,1,48746459,5,1545936,4,23,106044,87,4,811,15,0,0,false,false,false,California,Ojj,bank,fixed
34,0,0,1,1,1,0,0,1,5,7,70223114,3,93014,1,32,130818,85,5,831,21,3,2,false,false,false,Texas,Underwood,bank,va
35,0,0,0,0,1,1,0,1,7,2,4042461578,12,1240124,1,36,137895,67,4,755,25,0,2,false,false,false,California,Yang,bank,va
36,0,0,0,0,1,1,2,0,1,3,680190606,10,184516,1,64,79786,59,5,760,3,4,0,false,false,false,NE,Chatterji,ria,fixed
37,0,0,0,0,0,0,0,1,2,3,771119222,9,960885,1,34,822423,81,6,736,14,3,1,false,false,false,Texas,Noth,bank,va
38,0,0,0,1,0,0,0,1,3,3,920643783,9,8811649,1,42,247139,34,1,765,25,4,1,false,false,true,NE,Yang,bank,va
39,0,0,0,0,0,0,0,1,2,3,160897724,23,103114,1,22,399389,96,5,746,4,1,0,false,false,false,New York,Devon,bank,va
40,0,0,0,0,1,0,0,1,6,2,744549272,8,1983032,3,27,101790,65,1,799,25,1,0,false,false,true,New York,Yang,bank,va
41,0,0,0,0,1,0,0,0,3,6,1183401487,2,224314,20,43,147862,67,4,794,19,1,0,true,false,true,New York,Szu,bank,fixed
42,0,0,0,0,1,1,1,0,5,2,63731436,6,2452420,1,45,162948,77,5,772,20,4,0,false,false,false,NE,Tavares,wirehouse,fixed
43,0,0,0,1,1,0,0,1,7,6,906591109,11,5978539,3,27,196098,55,4,820,8,5,7,false,false,false,South,Hassan,bank,va
44,0,0,0,1,1,0,1,1,5,3,927523127,9,258367,1,21,471944,82,3,799,4,1,1,false,false,true,New York,Devon,wirehouse,va
45,0,0,1,1,1,0,2,1,7,6,2327458517,10,714661,1,73,218502,100,6,790,6,2,2,false,false,false,Florida,Funderburk,ria,va
46,0,0,1,0,0,1,0,1,2,0,361492259,9,1482355,1,23,123223,89,4,792,25,1,0,false,false,false,New York,Yang,bank,va
