advisor,advisor_event_indicator,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel_bank,channel_wirehouse,channel_ria,primary_prod_sold_fixed,primary_prod_sold_va,sf_email_campaigns,advisor_hh_children,annuity_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,region_ca,region_ny,region_fl,region_tx,region_ne,region_so,region_mw,region_we,sf_email_responses,analytic_partition
1,0,0,1,1,1,1,0,0,1,0,7,2,-0.519815677,-0.710216512,0.0134239343,1.8220499323,-0.154734812,-0.312832547,0.5144187865,3,0.7275658558,23,0,0,0,0,0,0,1,0,2,0
2,0,0,1,0,0,1,0,0,1,0,5,1,0.2607820618,-0.146292356,-0.545266542,-0.437773655,0.5029063466,0.3010145041,-0.072736175,2,-0.013692467,24,0,0,0,1,0,0,0,0,2,1
3,0,1,0,1,0,1,0,0,0,1,1,4,-0.397877222,-0.146292356,-0.659832517,-0.28711875,-1.14119655,0.7219546374,0.9547850073,4,0.5538334363,18,0,0,0,1,0,0,0,0,3,2
4,0,1,0,1,1,1,0,0,0,1,6,3,0.1696894718,-0.240279716,-0.277113588,3.3285989908,0.3713781148,0.1522672181,0.0251229855,2,0.6464907267,3,0,0,1,0,0,0,0,0,2,2
5,0,0,1,1,1,1,0,0,1,0,7,3,-0.7135823,-0.616229153,-0.579645303,-0.437773655,-0.220498928,0.8683881432,0.8569258471,5,0.5538334363,22,0,0,0,0,0,1,0,0,2,0
6,0,0,0,1,0,1,0,0,0,1,0,6,-0.310334755,0.6995938774,-0.247100134,-0.437773655,-1.404253014,0.0025308811,1.0526441675,4,0.3685188556,11,0,0,0,0,0,1,0,0,2,0
7,0,0,1,1,1,1,0,0,0,1,1,1,0.0776763913,-0.99217859,0.008338781,4.3831833317,-0.483555392,0.9443412708,0.4654892064,2,0.4148475008,13,0,0,0,0,0,1,0,0,0,1
8,0,0,0,0,0,1,0,0,1,0,1,1,1.4506060784,-0.428254434,0.0513187057,-0.437773655,-0.02320658,1.2672514579,0.6122779467,5,-0.453814596,24,0,0,1,0,0,0,0,0,1,2
9,0,1,1,1,1,1,0,0,0,1,2,3,0.7872275458,-0.052304997,0.7661741057,-0.437773655,-0.02320658,-0.541986687,-0.023806595,6,0.5075047912,25,1,0,0,0,0,0,0,0,1,0
10,0,0,1,0,0,0,1,0,0,1,4,6,3.812228783,0.605606518,0.1545382098,-0.437773655,-0.154734812,1.5553710245,0.0740525656,4,-0.639129177,14,0,0,0,1,0,0,0,0,0,0
11,0,0,1,1,0,0,0,1,0,1,7,6,0.3272330317,-0.898191231,-0.620856821,-0.437773655,-0.35202716,-0.694084758,0.5633483666,4,0.3916831782,2,0,0,1,0,0,0,0,0,1,2
12,0,0,0,1,0,1,0,0,0,1,5,4,-0.678372922,-0.240279716,-0.365127101,-0.437773655,-1.338488898,0.2818928501,-0.121665755,5,1.1213593398,18,0,0,0,0,0,1,0,0,1,1
13,0,1,0,0,1,1,0,0,0,1,2,1,2.6684473258,-0.334267075,-0.34920034,-0.437773655,-0.680847739,-0.010140961,0.6122779467,5,1.3530025657,2,0,0,0,0,0,0,1,0,1,0
14,0,0,1,1,1,1,0,0,0,1,5,0,0.1239129586,-0.334267075,0.0926018841,-0.437773655,-0.35202716,-0.870027951,-0.610961556,1,1.4340776948,11,1,0,0,0,0,0,0,0,1,0
15,0,0,0,0,0,1,0,0,1,0,5,2,1.0052492135,-0.522241794,3.923449117,-0.437773655,0.1740857672,0.5602118199,0.6612075268,5,0.3685188556,2,0,0,0,1,0,0,0,0,3,2
16,0,1,1,0,1,1,0,0,1,0,1,1,-0.699230531,5.5869365613,2.7184920142,0.3155008738,-1.272724782,-0.915410409,0.6612075268,5,0.773894501,9,0,0,0,0,0,0,0,1,0,1
17,0,0,1,1,1,1,0,0,1,0,7,3,-0.043732371,-0.898191231,0.6113735139,2.8766342732,1.2920757371,-0.638296284,0.9547850073,5,-2.191138791,3,0,0,0,0,1,0,0,0,4,2
18,0,0,1,0,0,1,0,0,0,1,3,2,1.1423561724,-0.99217859,-0.122862705,-0.437773655,-0.483555392,0.0597819522,0.6612075268,6,-2.167974468,15,1,0,0,0,0,0,0,0,2,2
19,0,0,0,0,1,0,1,0,0,1,7,1,-0.643067799,-0.146292356,0.7214165272,-0.437773655,0.1740857672,1.2363750819,0.3676300462,4,0.7159836945,8,0,0,0,0,0,1,0,0,5,2
20,0,1,1,1,1,0,1,0,1,0,2,5,1.6648136171,-0.804203872,-0.664240821,-0.437773655,-1.272724782,0.4864705701,1.0037145874,1,-0.060021112,12,0,0,0,0,1,0,0,0,0,2
21,0,1,0,0,0,0,1,0,1,0,6,6,-0.509863681,-0.428254434,-0.375478641,2.123359744,-0.680847739,1.1043937101,-0.415243235,4,-0.071603274,25,1,0,0,0,0,0,0,0,1,2
22,0,0,0,1,1,1,0,0,0,1,2,0,0.1235639164,-0.052304997,-0.66093101,-0.437773655,-0.615083623,-0.644853992,-0.757750296,3,0.9476269204,5,0,1,0,0,0,0,0,0,0,2
23,0,0,0,0,1,1,0,0,0,1,4,6,-0.641600298,-0.146292356,-0.681885595,-0.437773655,-1.404253014,-0.561611858,0.6612075268,4,0.8202231461,22,0,0,0,0,0,1,0,0,2,1
24,0,0,0,0,0,0,0,1,1,0,2,0,2.4794741322,-0.898191231,-0.255980081,-0.437773655,-0.878140087,-0.69494793,1.0037145874,0,-0.500143242,13,0,0,0,0,0,1,0,0,2,2
25,0,0,1,1,1,1,0,0,0,1,1,1,-0.593573864,-0.616229153,-0.686266622,1.2194303089,1.0290192736,-0.037816408,0.1719117258,2,0.6117442428,10,0,1,0,0,0,0,0,0,3,1
26,0,0,1,0,0,1,0,0,1,0,3,1,-0.142479165,-0.146292356,-0.502552456,-0.437773655,0.1740857672,-0.835045515,-0.121665755,4,0.2411150814,18,0,1,0,0,0,0,0,0,3,2
27,0,0,1,1,1,1,0,0,0,1,2,3,-0.547375958,-0.522241794,-0.316491972,-0.437773655,-1.404253014,-0.894034918,0.8569258471,4,1.167687985,22,0,0,0,0,1,0,0,0,4,2
28,0,1,0,1,1,1,0,0,1,0,3,5,2.1698743448,-0.616229153,1.4451440148,-0.437773655,-0.746611855,-0.948516646,0.6122779467,5,0.8086409848,2,0,0,0,1,0,0,0,0,5,2
29,0,0,1,0,0,0,1,0,0,1,3,6,1.3481722307,-0.616229153,3.481762475,-0.437773655,0.0425575355,0.4339789327,0.6612075268,5,1.0402842108,3,0,0,0,0,1,0,0,0,5,2
30,0,1,0,1,0,1,0,0,1,0,2,7,-0.64915801,-0.522241794,-0.665025855,-0.437773655,-0.812375971,0.4037739126,0.6122779467,3,-0.025274628,12,0,0,1,0,0,0,0,0,1,0
31,0,0,0,1,0,0,1,0,0,1,5,2,-0.654995574,-0.898191231,3.8763068471,-0.136463844,-0.615083623,-0.2832809,0.7590666869,5,0.0673826619,17,1,0,0,0,0,0,0,0,0,2
32,0,0,0,1,0,1,0,0,0,1,7,4,-0.427704182,1.1695306739,-0.289857678,-0.437773655,0.4371422307,0.5128212882,0.3187004661,2,0.8665517913,13,0,0,0,0,0,1,0,0,3,0
33,0,0,0,1,0,1,0,0,1,0,2,1,-0.688353386,-0.616229153,0.0241379395,0.0141910621,-1.272724782,-0.62567839,0.5633483666,4,1.1097771785,15,1,0,0,0,0,0,0,0,0,2
34,0,1,1,1,0,1,0,0,0,1,5,7,-0.66751279,-0.804203872,-0.647589591,-0.437773655,-0.680847739,-0.477176868,0.4654892064,5,1.3414204044,21,0,0,0,1,0,0,0,0,2,2
35,0,0,0,1,1,1,0,0,0,1,7,2,3.1870826959,0.0416823622,-0.117247723,-0.437773655,-0.417791276,-0.434755569,-0.415243235,4,0.461176146,25,1,0,0,0,0,0,0,0,2,2
36,0,0,0,1,1,0,0,1,1,0,1,3,-0.075610274,-0.146292356,-0.60528559,-0.437773655,1.4236039688,-0.783075377,-0.806679876,5,0.5190869525,3,0,0,0,0,1,0,0,0,0,2
37,0,0,0,0,0,1,0,0,0,1,2,3,0.0126253735,-0.240279716,-0.246347925,-0.437773655,-0.549319507,3.6684756279,0.269770886,6,0.2411150814,14,0,0,0,1,0,0,0,0,1,1
38,0,0,1,0,0,1,0,0,0,1,3,3,0.1577215713,-0.240279716,3.3832855386,-0.437773655,-0.02320658,0.2200801557,-2.029919379,1,0.5769977589,25,0,0,0,0,1,0,0,0,1,2
39,0,0,0,0,0,1,0,0,0,1,2,3,-0.579523626,1.0755433146,-0.642920071,-0.437773655,-1.338488898,1.1327045476,1.0037145874,5,0.3569366943,4,0,1,0,0,0,0,0,0,0,2
40,0,0,0,1,0,1,0,0,0,1,6,2,-0.013157673,-0.334267075,0.2262199621,-0.136463844,-1.009668319,-0.651177925,-0.513102396,1,0.970791243,25,0,1,0,0,0,0,0,0,0,1
41,0,0,0,1,0,1,0,0,1,0,3,6,0.4126973662,-0.898191231,-0.586885833,2.4246695557,0.0425575355,-0.37501089,-0.415243235,4,0.9128804365,19,0,1,0,0,0,0,0,0,0,1
42,0,0,0,1,1,0,1,0,1,0,5,2,-0.673812209,-0.522241794,0.4432315029,-0.437773655,0.1740857672,-0.284581652,0.0740525656,5,0.658072888,20,0,0,0,0,1,0,0,0,0,1
43,0,0,1,1,0,1,0,0,0,1,7,6,0.1440850855,-0.052304997,2.0734574936,-0.136463844,-1.009668319,-0.085872301,-1.002398197,4,1.2140166302,8,0,0,0,0,0,1,0,0,7,1
44,0,0,1,1,0,0,1,0,0,1,5,3,0.1643971747,-0.240279716,-0.571142154,-0.437773655,-1.404253014,1.567617275,0.3187004661,3,0.970791243,4,0,1,0,0,0,0,0,0,1,2
45,0,1,1,1,0,0,0,1,0,1,7,6,1.522871668,-0.146292356,-0.360184345,-0.437773655,2.0154810117,0.0484228506,1.1994329078,6,0.8665517913,6,0,0,1,0,0,0,0,0,2,2
46,0,1,0,0,1,1,0,0,0,1,2,0,-0.384869957,-0.240279716,-0.005257381,-0.437773655,-1.272724782,-0.522703188,0.6612075268,4,0.8897161139,25,0,1,0,0,0,0,0,0,0,2
47,0,0,0,1,0,1,0,0,1,0,5,2,3.7266714702,0.3236444401,-0.297838396,-0.437773655,-1.272724782,-0.294675967,0.1719117258,4,-0.164260564,20,0,0,0,1,0,0,0,0,1,2
48,0,1,0,1,0,1,0,0,1,0,1,2,0.1807663261,-0.146292356,1.9980928309,-0.437773655,-1.404253014,-0.359329935,-0.415243235,5,-0.280082177,20,1,0,0,0,0,0,0,0,1,1
49,0,0,1,1,0,1,0,0,0,1,3,1,0.174808831,0.0416823622,-0.668404553,-0.437773655,-0.943904203,4.2703281866,0.5144187865,1,-0.141096241,24,0,0,0,0,0,1,0,0,1,2
50,0,0,0,0,0,1,0,0,1,0,6,0,-0.721646042,-0.240279716,0.9208484817,-0.437773655,-0.878140087,0.0436214572,-0.562031976,3,0.2758615652,3,0,0,1,0,0,0,0,0,3,1
51,0,0,1,1,1,1,0,0,1,0,6,2,3.0584417944,-0.804203872,-0.008381336,-0.437773655,0.8974910418,0.4027189248,0.3187004661,6,0.5885799202,17,0,0,0,0,0,0,0,1,3,2
52,0,1,1,1,0,1,0,0,0,1,4,4,-0.33873969,-0.616229153,0.7637598252,-0.437773655,1.7524245482,1.2374660352,-0.023806595,5,0.5538334363,5,0,0,1,0,0,0,0,0,3,2
53,0,1,0,1,1,1,0,0,1,0,1,4,-0.721179218,-0.804203872,-0.241587326,0.9181204972,-1.338488898,0.6776571381,-0.659891136,2,0.8665517913,1,0,0,1,0,0,0,0,0,0,2
54,0,0,0,0,0,1,0,0,0,1,2,0,-0.104103075,-0.804203872,-0.210429146,-0.437773655,-0.088970696,-0.455897285,0.3187004661,4,0.4727583073,18,0,1,0,0,0,0,0,0,2,2
55,0,1,0,0,0,1,0,0,0,1,4,5,-0.086493964,0.5116191587,2.4650360271,-0.437773655,-0.483555392,2.6952913396,1.0526441675,2,-0.12951408,23,1,0,0,0,0,0,0,0,3,2
56,0,0,1,1,1,0,1,0,0,1,1,5,-0.427306387,-0.146292356,-0.444388733,-0.437773655,0.1083216513,-0.235254978,0.6612075268,5,0.2063685975,9,0,0,1,0,0,0,0,0,0,2
57,0,0,1,0,0,1,0,0,0,1,7,2,-0.514450102,-0.710216512,1.0005151129,-0.437773655,-1.338488898,-0.481936302,-0.464172815,3,0.1832042749,24,0,1,0,0,0,0,0,0,0,0
58,0,0,0,0,0,1,0,0,0,1,4,2,-0.598350361,-0.804203872,-0.473884379,-0.437773655,2.4758298228,4.3476839684,0.5144187865,3,0.3221902104,22,0,0,1,0,0,0,0,0,2,1
59,0,0,1,1,1,1,0,0,0,1,2,5,2.0752837108,-0.804203872,0.0371501806,-0.437773655,-0.220498928,-0.290965527,-0.121665755,2,-0.326410822,13,0,0,0,0,1,0,0,0,3,2
60,0,0,0,1,1,1,0,0,0,1,3,1,-0.084772,-0.522241794,3.7434848991,0.7674655913,-1.206960666,1.7324471307,0.6612075268,5,0.9128804365,17,0,0,0,0,0,0,0,1,0,2
61,0,1,1,1,1,1,0,0,1,0,4,1,-0.366663133,0.9815559553,-0.170890334,-0.28711875,-0.286263044,0.703570276,0.269770886,4,0.2642794039,7,0,0,1,0,0,0,0,0,0,2
62,0,1,1,1,0,1,0,0,0,1,4,6,-0.721965421,0.0416823622,3.6874085895,-0.437773655,-0.088970696,0.1960671947,-0.219524915,5,-0.12951408,16,0,1,0,0,0,0,0,0,2,2
63,0,0,1,0,0,1,0,0,0,1,3,4,1.6354946049,-0.616229153,2.6592270236,-0.437773655,1.6208963164,-0.939543255,0.3187004661,4,0.9012982752,25,0,0,0,0,0,1,0,0,0,2
64,0,0,0,1,1,1,0,0,1,0,2,5,-0.359139915,0.3236444401,-0.203761904,-0.437773655,0.0425575355,0.2466886265,0.269770886,1,0.148457791,18,0,0,0,0,0,1,0,0,2,2
65,0,1,0,1,0,1,0,0,1,0,1,2,0.1597811914,-0.240279716,-0.286269545,-0.28711875,0.0425575355,1.2813739083,0.4165596263,6,0.4264296621,14,0,0,1,0,0,0,0,0,1,2
66,0,1,1,0,1,1,0,0,0,1,7,0,3.451666779,-0.804203872,-0.272617441,-0.437773655,0.8974910418,1.2501918256,0.5633483666,4,-1.241401564,25,0,0,0,1,0,0,0,0,2,1
67,0,0,0,0,0,0,1,0,0,1,6,5,-0.725168384,-0.804203872,1.6152897582,-0.437773655,-0.154734812,-0.223722043,0.4165596263,6,0.5654155976,16,0,1,0,0,0,0,0,0,0,2
68,0,0,0,1,0,1,0,0,0,1,5,2,1.8917453092,-0.334267075,0.2315469133,-0.437773655,-0.02320658,1.044972721,0.269770886,5,-2.584932275,2,0,0,1,0,0,0,0,0,4,2
69,0,0,1,1,0,1,0,0,0,1,2,1,-0.212360373,-0.898191231,-0.669339382,-0.437773655,-1.338488898,-0.740150561,0.6122779467,5,0.4843404686,18,0,0,0,1,0,0,0,0,3,1
70,0,0,1,0,1,1,0,0,0,1,4,1,-0.662482757,0.3236444401,-0.534271903,1.3700852147,-1.338488898,1.5548914846,0.7590666869,4,-0.337992983,10,0,0,1,0,0,0,0,0,1,1
