account_id,event_indicator,gender,ever_missed_obligation,at_current_job_1_year,smoker,uses_direct_deposit,business_owner,homeowner,num_dependents,years_at_residence,age,debt_to_income,num_transactions,credit_history_mos,credit_score,amount,net_worth,id_important_activity,id_direct_contact,id_current_fs_relationship,job_in_education,job_in_energy,job_in_media,job_in_transport,job_in_hospitality,job_in_healthcare,job_in_manufacturing,job_in_financial,citizenship_us,citizenship_latam,citizenship_eu,citizenship_middle_east,citizenship_africa,citizenship_india,citizenship_china,citizenship_other,region_ca,region_ny,region_fl,region_tx,region_ne,region_so,region_mw,region_we,marital_status_single,marital_status_married,marital_status_divorced,analytic_partition
1,0,0,1,1,0,0,0,1,2,5.4423054188,-0.68357658,-0.711231891,1.2654572244,0.6073289084,1.3242184495,0.1807708475,-0.41614655,false,false,false,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,1,0,6,3.6351459751,-0.749061207,1.0572786295,1.3186763188,0.9466841326,0.9722983603,-0.72801456,-0.20805561,false,false,false,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
3,0,0,1,1,0,0,1,1,0,-0.430962773,2.3287162678,1.0941225986,1.4783336021,1.1890807213,0.7024929586,-0.750041529,0.3535243772,false,false,false,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
4,0,1,1,1,1,1,1,1,5,-0.430962773,-1.207453596,0.7256829068,-0.437553798,0.7527668617,0.1394208159,1.7289864207,1.4348090232,false,false,false,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
5,0,1,1,1,0,1,0,1,3,1.3761966705,-0.094214935,-0.748075861,0.0414180523,0.6073289084,0.6438396104,1.3664844059,3.8867987116,false,false,false,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6,0,1,0,1,0,0,1,0,3,-0.129769532,-1.338422851,1.2046545062,1.1057999411,-0.410736764,0.1980741641,1.4755051593,1.090548169,false,false,false,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
7,0,1,0,1,0,0,1,0,2,-0.430962773,1.2154776068,-0.674387922,2.063743641,0.8497254971,0.5851862622,-0.492438858,-0.408822873,false,false,true,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
8,0,0,1,0,0,1,0,0,4,-0.430962773,1.6738699967,-1.005983645,0.5736089967,-0.216819493,0.9253756818,-0.794008087,0.1907633294,false,false,true,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
9,0,0,1,1,1,0,0,0,3,-0.430962773,-0.356153444,1.0204346603,1.0525808466,0.5588495907,0.7963383157,-0.622860359,0.4903551647,false,false,false,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
10,0,1,1,0,1,1,1,1,2,3.9363392157,2.459685522,0.6888389376,0.0414180523,1.0921220858,0.526532914,2.7530111046,-0.447285692,false,false,true,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11,0,1,1,1,0,1,1,0,1,-0.280366153,-1.076484342,-0.600699984,-0.011801042,1.1406014036,0.2449968427,-0.69631757,1.0019310838,false,true,false,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2
12,0,1,1,1,0,1,1,0,6,-0.430962773,-0.880030461,0.1361793999,0.6800471856,0.9466841326,0.6086476015,-0.528162597,0.1610360522,false,false,false,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
13,0,0,1,0,1,0,0,0,4,-0.430962773,0.9535390984,-0.637543953,-0.543991986,0.4134116375,-2.93401463,-0.824459917,-0.765502135,false,false,false,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
