acct_number,claim_indicator,new_driver,bundle,ever_deferred_payment,no_fault_state,marital_status,vehicle_history,num_auto_drivers,num_claims,deductible,liability_limit,num_prior_claims,claim_amt,income,policy_age_mos,owner_age,vehicle_age,auto_points,credit_score,avg_claim,claim_indicator_type,marital_status_type,vehicle_history_type,deductible_level,liability_limit_level,channel,channel_type
1,0,1,1,0,0,1,0,1,0,7,0,2,0,21325,4,58,9,6,781,0,no_claim,married,no_damage,3000,50000,0,website
2,0,0,1,0,0,0,0,1,0,1,3,0,0,44263,5,21,9,7,681,0,no_claim,single,no_damage,100,200000,2,crosssell
3,0,1,1,0,0,1,0,1,0,4,5,2,0,28193,1,39,0,1,747,0,no_claim,married,no_damage,1000,300000,1,agent
4,0,0,0,1,1,0,0,1,0,4,1,2,0,16065,11,59,6,13,595,0,no_claim,single,no_damage,1000,100000,3,affinity
5,0,0,0,1,1,0,0,2,0,1,3,0,0,8325,15,17,2,3,674,0,no_claim,single,no_damage,100,200000,3,affinity
6,0,0,0,0,0,0,3,1,0,1,2,1,0,7080,3,37,10,1,666,0,no_claim,single,salvage,100,150000,0,website
7,0,0,0,0,0,0,0,2,0,3,1,2,0,34430,10,54,5,4,726,0,no_claim,single,no_damage,500,100000,2,crosssell
8,0,0,0,0,0,1,0,1,0,3,2,2,0,37435,2,26,2,4,675,0,no_claim,married,no_damage,500,150000,2,crosssell
9,0,0,0,0,0,1,0,1,0,0,0,1,0,5109,50,45,12,5,713,0,no_claim,married,no_damage,0,50000,2,crosssell
10,0,0,0,0,0,1,1,1,0,2,7,5,0,26584,3,23,14,14,718,0,no_claim,married,potential_damage,250,500000,3,affinity
11,0,0,1,0,0,1,0,1,0,6,1,5,0,10424,3,48,12,5,668,0,no_claim,married,no_damage,2000,100000,3,affinity
12,0,0,0,0,0,1,0,5,0,1,1,0,0,5882,3,42,1,7,746,0,no_claim,married,no_damage,100,100000,2,crosssell
13,0,0,1,0,0,1,0,1,0,3,1,0,0,8277,26,48,1,6,657,0,no_claim,married,no_damage,500,100000,2,crosssell
14,0,0,0,0,0,1,0,1,0,1,2,0,0,25546,14,29,4,0,738,0,no_claim,married,no_damage,100,150000,0,website
15,0,0,0,0,0,0,3,2,0,1,3,0,0,26349,3,62,3,3,658,0,no_claim,single,salvage,100,200000,3,affinity
16,0,0,1,0,1,0,0,1,0,3,1,5,0,31030,16,75,8,0,800,0,no_claim,single,no_damage,500,100000,1,agent
17,0,0,1,0,1,0,1,1,0,2,6,0,0,20711,20,72,6,2,767,0,no_claim,single,potential_damage,250,350000,2,crosssell
18,0,0,1,0,0,1,0,2,0,2,6,2,0,8984,12,36,8,4,670,0,no_claim,married,no_damage,250,350000,2,crosssell
19,0,0,1,0,0,0,0,1,0,5,2,2,0,32062,13,28,8,5,703,0,no_claim,single,no_damage,1500,150000,0,website
20,0,0,1,0,0,1,0,1,0,2,0,1,0,36715,4,44,6,4,525,0,no_claim,married,no_damage,250,50000,3,affinity
21,0,0,0,0,0,0,0,1,0,4,2,0,0,49988,16,59,2,3,730,0,no_claim,single,no_damage,1000,150000,2,crosssell
22,0,0,0,0,0,0,1,1,0,3,4,2,0,28811,4,36,6,4,751,0,no_claim,single,potential_damage,500,250000,3,affinity
23,0,1,0,1,0,0,0,2,0,2,1,2,0,23369,3,31,4,5,681,0,no_claim,single,no_damage,250,100000,1,agent
24,0,0,0,0,1,0,0,1,0,3,3,1,0,27023,7,75,5,5,758,0,no_claim,single,no_damage,500,200000,1,agent
25,0,0,1,0,1,0,1,2,0,6,2,2,0,87565,5,57,7,15,656,0,no_claim,single,potential_damage,2000,150000,3,affinity
26,0,0,1,0,0,0,1,1,0,3,4,1,0,32571,18,42,7,2,672,0,no_claim,single,potential_damage,500,250000,2,crosssell
27,0,0,1,0,0,0,1,2,0,1,3,4,0,17454,10,75,6,12,711,0,no_claim,single,potential_damage,100,200000,3,affinity
28,0,0,0,0,0,0,0,1,0,2,0,2,0,97636,6,39,6,3,661,0,no_claim,single,no_damage,250,50000,1,agent
29,0,0,1,0,0,1,0,1,0,2,3,0,0,5406,48,41,0,3,566,0,no_claim,married,no_damage,250,200000,1,agent
30,0,0,1,0,0,1,1,2,0,3,2,0,0,26856,4,64,7,4,843,0,no_claim,married,potential_damage,500,150000,0,website
31,0,0,0,0,1,0,0,2,0,3,0,0,0,9830,5,31,6,4,691,0,no_claim,single,no_damage,500,50000,3,affinity
32,0,0,0,0,0,0,0,1,0,4,0,3,0,9167,5,49,5,5,731,0,no_claim,single,no_damage,1000,50000,1,agent
33,0,0,0,0,0,1,0,1,0,2,3,2,0,21049,5,34,0,1,687,0,no_claim,married,no_damage,250,200000,3,affinity
34,0,0,1,0,0,0,0,1,0,3,4,0,0,11697,3,28,13,5,759,0,no_claim,single,no_damage,500,250000,2,crosssell
35,0,0,1,0,0,1,1,1,0,0,2,0,0,31472,6,40,8,11,650,0,no_claim,married,potential_damage,0,150000,2,crosssell
36,0,0,0,0,0,1,0,2,0,1,5,0,0,17197,16,33,1,2,748,0,no_claim,married,no_damage,100,300000,0,website
37,0,0,0,1,0,1,0,2,0,3,4,0,0,9827,3,35,6,0,771,0,no_claim,married,no_damage,500,250000,2,crosssell
38,0,1,0,0,0,1,0,1,0,3,0,0,0,59284,32,60,5,0,836,0,no_claim,married,no_damage,500,50000,3,affinity
39,0,0,0,0,0,0,2,1,0,1,6,0,0,69282,2,35,8,8,663,0,no_claim,single,severe_damage,100,350000,1,agent
40,0,0,0,1,0,1,0,1,0,2,4,0,0,51027,2,24,13,2,698,0,no_claim,married,no_damage,250,250000,1,agent
41,0,0,0,0,0,0,0,1,0,1,3,1,0,6209,9,52,0,4,715,0,no_claim,single,no_damage,100,200000,0,website
42,0,0,1,0,1,0,2,2,0,2,2,3,0,13641,7,32,8,4,516,0,no_claim,single,severe_damage,250,150000,3,affinity
43,0,1,0,1,0,1,0,1,0,2,2,0,0,48312,2,39,1,3,677,0,no_claim,married,no_damage,250,150000,2,crosssell
44,0,0,0,0,0,0,0,2,0,1,0,0,0,18522,8,32,3,6,673,0,no_claim,single,no_damage,100,50000,1,agent
