name,dataGridName,dataType,direction,length,generateDataGridColumns,description,defaultValue,dataGridMaxRowCount
_P_,,decimal,output,,,"",,
_WARN_,,string,output,,,"",,
account_id,,decimal,none,,,"",,
age,,decimal,inOut,,,,,
amount,,decimal,inOut,,,,,
ApproveFlag,,integer,output,,,"",,
at_current_job_1_year,,decimal,inOut,,,,,
business_owner,,decimal,inOut,,,,,
citizenship_africa,,decimal,inOut,,,,,
citizenship_char,,string,inOut,14,,,,
citizenship_china,,decimal,inOut,,,,,
citizenship_eu,,decimal,inOut,,,,,
citizenship_india,,decimal,inOut,,,,,
citizenship_latam,,decimal,inOut,,,,,
citizenship_middle_east,,decimal,inOut,,,,,
citizenship_other,,decimal,inOut,,,,,
citizenship_us,,decimal,inOut,,,,,
credit_history_mos,,decimal,inOut,,,,,
credit_score,,decimal,inOut,,,,,
debt_to_income,,decimal,inOut,,,,,
DeclineFlag,,boolean,output,,,,,
DeclineReason,,string,output,,,,,
EM_CLASSIFICATION,,string,output,,,"",,
EM_EVENTPROBABILITY,,decimal,output,,,"",,
EM_PROBABILITY,,decimal,output,,,"",,
event_indicator,,decimal,inOut,,,,,
ever_missed_obligation,,decimal,inOut,,,,,
gender,,decimal,inOut,,,,,
gender_char,,string,inOut,6,,,,
homeowner,,decimal,inOut,,,,,
I_event_indicator,,string,output,,,"",,
id_current_fs_relationship,,string,inOut,5,,,,
id_direct_contact,,string,inOut,5,,,,
id_important_activity,,string,inOut,5,,,,
job_in_education,,decimal,inOut,,,,,
job_in_energy,,decimal,inOut,,,,,
job_in_financial,,decimal,inOut,,,,,
job_in_healthcare,,decimal,inOut,,,,,
job_in_hospitality,,decimal,inOut,,,,,
job_in_manufacturing,,decimal,inOut,,,,,
job_in_media,,decimal,inOut,,,,,
job_in_transport,,decimal,inOut,,,,,
job_industry_char,,string,inOut,21,,,,
loan_decision,,string,output,,,"",,
marital_status_char,,string,inOut,8,,,,
marital_status_divorced,,decimal,inOut,,,,,
marital_status_married,,decimal,inOut,,,,,
marital_status_single,,decimal,inOut,,,,,
MONTHLYINCOME,,decimal,output,,,,,
net_worth,,decimal,inOut,,,,,
num_dependents,,decimal,inOut,,,,,
num_transactions,,decimal,inOut,,,,,
orig_age,,decimal,inOut,,,,,
orig_amount,,decimal,inOut,,,,,
orig_credit_history_mos,,decimal,inOut,,,,,
orig_credit_score,,decimal,inOut,,,,,
orig_debt_to_income,,decimal,inOut,,,,,
orig_net_worth,,decimal,inOut,,,,,
orig_num_transactions,,decimal,inOut,,,,,
orig_years_at_residence,,decimal,inOut,,,,,
P_event_indicator0,,decimal,output,,,"",,
P_event_indicator1,,decimal,output,,,"",,
region_ca,,decimal,inOut,,,,,
region_char,,string,inOut,14,,,,
region_fl,,decimal,inOut,,,,,
region_mw,,decimal,inOut,,,,,
region_ne,,decimal,inOut,,,,,
region_ny,,decimal,inOut,,,,,
region_so,,decimal,inOut,,,,,
region_tx,,decimal,inOut,,,,,
region_we,,decimal,inOut,,,,,
smoker,,decimal,inOut,,,,,
smoker_char,,string,inOut,9,,,,
uses_direct_deposit,,decimal,inOut,,,,,
years_at_residence,,decimal,inOut,,,,,
